GEO_ID|B11001_E001|B11001_M001|B11001_E002|B11001_M002|B11001_E003|B11001_M003|B11001_E004|B11001_M004|B11001_E005|B11001_M005|B11001_E006|B11001_M006|B11001_E007|B11001_M007|B11001_E008|B11001_M008|B11001_E009|B11001_M009
030C243US8|1537727|6216|1088251|5913|891897|5970|196354|2979|71113|2094|125241|2162|449476|4505|372181|4282|77295|2449
030C243US9|1757806|7993|1247787|6326|1001606|6708|246181|4640|91881|2640|154300|3185|510019|5577|401010|5135|109009|2508
0400000US01|1997247|6490|1287290|6491|920332|6433|366958|4634|87023|2714|279935|3964|709957|6220|615375|6593|94582|3102
0400000US02|270533|1456|172968|2097|130414|2046|42554|1483|15511|810|27043|1223|97565|1818|76856|1813|20709|1088
0400000US04|2856081|6374|1835692|7425|1334773|7758|500919|5146|160874|3567|340045|4057|1020389|7300|786211|6903|234178|3845
0400000US05|1205987|4874|779074|5971|566646|5148|212428|3180|57955|2185|154473|2746|426913|4665|360000|4350|66913|2449
0400000US06|13548091|17724|9191176|23875|6557184|29569|2633992|12530|857732|7926|1776260|9111|4356915|13969|3289307|13117|1067608|7741
0400000US08|2374218|4232|1465097|5941|1147437|7003|317660|4557|106780|2666|210880|3558|909121|5964|679604|6048|229517|3918
0400000US09|1434007|3233|921388|5277|668528|6278|252860|4227|71139|2449|181721|3526|512619|4874|416723|5021|95896|2508
0400000US10|402038|1657|261870|2757|189962|2778|71908|2391|18730|1167|53178|2104|140168|2694|114643|2463|25525|1419
0400000US11|324491|1816|132514|2798|80186|2295|52328|1586|9951|974|42377|1483|191977|3036|153560|2868|38417|1492
0400000US12|8752810|20285|5652059|20377|4086171|23273|1565888|9720|454845|8015|1111043|8639|3100751|12916|2473731|13206|627020|6968
0400000US13|4074366|9635|2698119|12006|1893490|13438|804629|7906|198034|3968|606595|7216|1376247|9411|1127648|8519|248599|4667
0400000US15|492453|2224|335019|2849|244742|2796|90277|2278|28623|1368|61654|1729|157434|2546|123187|2223|34247|1385
0400000US16|713005|2422|488374|3908|392938|3835|95436|2309|33551|1550|61885|1549|224631|3573|173906|3618|50725|1982
0400000US17|5036449|8009|3130978|10019|2282435|11482|848543|7864|248521|4100|600022|7240|1905471|9376|1569881|9118|335590|4391
0400000US18|2716009|6039|1729978|7070|1284219|7938|445759|5614|137811|3451|307948|4347|986031|6640|803751|6476|182280|3445
0400000US19|1315707|3984|809836|3927|635347|4363|174489|3008|56457|1667|118032|2464|505871|3997|406436|4217|99435|2222
0400000US20|1174060|4246|744502|3800|576382|4254|168120|3252|52856|1964|115264|2400|429558|3863|352785|4176|76773|2245
0400000US21|1814469|5224|1159005|5558|844820|6304|314185|4565|95673|2418|218512|3636|655464|5306|540419|5376|115045|2905
0400000US22|1804780|5143|1130826|6519|754231|6939|376595|4747|96444|2713|280151|3913|673954|6184|571003|5824|102951|2612
0400000US23|597159|2532|362538|3245|286766|3484|75772|2021|24355|1258|51417|1565|234621|3249|183618|3051|51003|1744
0400000US24|2362928|3782|1535706|6459|1090871|7395|444835|5229|120206|3176|324629|3869|827222|5196|677124|5200|150098|3228
0400000US25|2785042|5182|1737385|6913|1277065|7760|460320|6499|130288|3401|330032|5911|1047657|7316|800741|6514|246916|4479
0400000US26|4076369|8399|2545621|8637|1878767|9941|666854|6302|199150|3952|467704|4705|1530748|6454|1250418|6943|280330|4489
0400000US27|2307955|6063|1438404|4811|1129003|6359|309401|4495|102922|2278|206479|3541|869551|4976|686475|5619|183076|2768
0400000US28|1145431|4267|747604|5353|498140|5234|249464|3620|54654|1940|194810|2994|397827|4991|346124|4146|51703|2151
0400000US29|2508227|6821|1558009|7298|1166368|7904|391641|5131|115975|2713|275666|4373|950218|6478|781034|6553|169184|2810
0400000US30|458859|3762|276731|3661|222207|3661|54524|1558|19995|1053|34529|1155|182128|2761|144042|2725|38086|1387
0400000US31|797847|2728|500016|3298|389247|3256|110769|2298|35772|1439|74997|2084|297831|3073|244781|2821|53050|1653
0400000US32|1202593|3427|767020|4442|528863|5208|238157|3719|81284|2257|156873|3409|435573|3901|336506|4039|99067|2823
0400000US33|555822|2236|358314|2897|286197|2811|72117|1855|24853|1282|47264|1493|197508|2534|152350|2629|45158|1625
0400000US34|3507701|5116|2377513|7284|1746187|8557|631326|6322|178050|3564|453276|5117|1130188|6016|927585|6199|202603|3175
0400000US35|837414|2650|509898|4335|342845|4018|167053|3518|53553|2116|113500|2806|327516|3422|271261|3297|56255|1982
0400000US36|7722646|12717|4738075|13456|3279487|15988|1458588|9559|398169|5898|1060419|8193|2984571|12394|2398170|12430|586401|7149
0400000US37|4282345|9120|2753022|10113|2021951|10725|731071|6702|195051|3895|536020|5571|1529323|8811|1258822|8388|270501|4580
0400000US38|331063|1699|189842|2296|151685|2348|38157|1573|13926|1052|24231|1271|141221|2574|114955|2587|26266|1234
0400000US39|4863191|8557|2976515|9080|2158670|12158|817845|7593|235478|4218|582367|5316|1886676|8612|1556005|8792|330671|4197
